Time,Message,Port,Sequence,% Idle Time,Time Status,Week,Seconds,Receiver Status,Reserved,Receiver S/W Version,Temperature (C),Antenna Current (A),Digital Core 3V3 Voltage (V),Antenna Voltage (V),Digital 1V2 Core Voltage (V),Regulated Supply Voltage (V),1V8 (V),5V Voltage (Volts),Secondary Temperature (C),Temperature Status Flag,Antenna Current Status Flag,Digital Core 3V3 Status Flag,Antenna Voltage Status Flag,Digital 1V2 Core Status Flag,Regulated Supply Voltage Status Flag,1V8 Status Flag,5V Voltage Status Flag,Secondary Temperature Status Flag
10/09/2025 11:27:26.287 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69537,02004000,52db,16410,31.80708313,0.129304036,3.274725437,5.061782837,1.199023247,3.274725437,1.832722902,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:27.288 AM,#HWMONITORA,COM2,0,90,FINESTEERING,2159,69538,02004000,52db,16410,31.80708313,0.129426137,3.269841433,5.061782837,1.192918181,3.271062374,1.832112312,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:28.289 AM,#HWMONITORA,COM2,0,90,FINESTEERING,2159,69539,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.195360184,3.275946379,1.813186884,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:29.291 AM,#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69540,02004000,52db,16410,31.80708313,0.129181936,3.274725437,5.061782837,1.192918181,3.272283316,1.844932914,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:30.092 AM,#HWMONITORA,COM2,0,90,FINESTEERING,2159,69541,02004000,52db,16410,31.80708313,0.129304036,3.268620491,5.061782837,1.199023247,3.273504257,1.818070889,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:31.093 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69542,02004000,52db,16410,31.80708313,0.129181936,3.271062374,5.061782837,1.194139242,3.271062374,1.830891371,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:32.095 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69543,02004000,52db,16410,31.80708313,0.129304036,3.272283316,5.061782837,1.199023247,3.274725437,1.813186884,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:33.099 AM,#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69544,02004000,52db,16410,31.80708313,0.129181936,3.275946379,5.061782837,1.199023247,3.274725437,1.816849828,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:33.899 AM,#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69545,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.197802186,3.273504257,1.821123362,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:34.902 AM,#HWMONITORA,COM2,0,91,FINESTEERING,2159,69546,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.199023247,3.274725437,1.823565364,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:35.906 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69547,02004000,52db,16410,31.80708313,0.129304036,3.269841433,5.061782837,1.199023247,3.273504257,1.827228308,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:36.907 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69548,02004000,52db,16410,31.80708313,0.129304036,3.269841433,5.061782837,1.199023247,3.273504257,1.827228308,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:37.911 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69549,02004000,52db,16410,31.80708313,0.129304036,3.274725437,5.061782837,1.196581244,3.27716732,1.826007366,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:38.711 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69550,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.195360184,3.273504257,1.833943844,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:39.712 AM,#HWMONITORA,COM2,0,86,FINESTEERING,2159,69551,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.198412657,3.273504257,1.810744882,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:40.712 AM,#HWMONITORA,COM2,0,86,FINESTEERING,2159,69552,02004000,52db,16410,31.80708313,0.129181936,3.273504257,5.061782837,1.195360184,3.275946379,1.812576294,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:41.713 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69553,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.199023247,3.274725437,1.824175835,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:42.715 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69554,02004000,52db,16410,31.80708313,0.129181936,3.272283316,5.061782837,1.193528652,3.269841433,1.829670429,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:43.517 AM,#HWMONITORA,COM2,0,90,FINESTEERING,2159,69555,02004000,52db,16410,31.80708313,0.129304036,3.275946379,5.061782837,1.198412657,3.274725437,1.829059839,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:44.519 AM,#HWMONITORA,COM2,0,90,FINESTEERING,2159,69556,02004000,52db,16410,31.80708313,0.129304036,3.274725437,5.061782837,1.199023247,3.273504257,1.814407825,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:45.519 AM,#HWMONITORA,COM2,0,90,FINESTEERING,2159,69557,02004000,52db,16410,31.80708313,0.129426137,3.274725437,5.061782837,1.198412657,3.273504257,1.821123362,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:46.520 AM,#HWMONITORA,COM2,0,90,FINESTEERING,2159,69558,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.198412657,3.273504257,1.839438438,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:47.521 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69559,02004000,52db,16410,31.80708313,0.129059836,3.275946379,5.061782837,1.198412657,3.274725437,1.820512891,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:48.323 AM,#HWMONITORA,COM2,0,88.5,FINESTEERING,2159,69560,02004000,52db,16410,31.80708313,0.129181936,3.274725437,5.061782837,1.199023247,3.269841433,1.844932914,5.098901272,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:49.325 AM,#HWMONITORA,COM2,0,88.5,FINESTEERING,2159,69561,02004000,52db,16410,31.80708313,0.129426137,3.269841433,5.061782837,1.199023247,3.273504257,1.834554434,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:50.326 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69562,02004000,52db,16410,31.80708313,0.129059836,3.274725437,5.061782837,1.193528652,3.274725437,1.831501842,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:51.326 AM,#HWMONITORA,COM2,0,91,FINESTEERING,2159,69563,02004000,52db,16410,31.80708313,0.129548237,3.272283316,5.061782837,1.193528652,3.271062374,1.836996317,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:52.128 AM,#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69564,02004000,52db,16410,31.80708313,0.129181936,3.273504257,5.061782837,1.199023247,3.272283316,1.846764326,5.098901272,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:53.129 AM,#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69565,02004000,52db,16410,31.80708313,0.129548237,3.275946379,5.061782837,1.198412657,3.274725437,1.823565364,5.098901272,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:54.133 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69566,02004000,52db,16410,31.80708313,0.129304036,3.273504257,5.061782837,1.199023247,3.274725437,1.827228308,5.100854874,33.15018463,0,0,0,0,0,0,0,0,0
10/09/2025 11:27:55.133 AM,#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69567,02004000,52db,16410,31.80708313,0.129181936,3.274725437,5.061782837,1.199023247,3.273504257,1.833333373,5.098901272,33.15018463,0,0,0,0,0,0,0,0,0
