Time,Message,Port,Sequence,% Idle Time,Time Status,Week,Seconds,Receiver Status,Reserved,Receiver S/W Version,gdop,pdop,hdop,htdop,tdop,cutoff
10/09/2025 11:27:26.487 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69538,02004000,1779,16410,1.657,1.507,0.9,1.132,0.687,5
10/09/2025 11:27:27.488 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69539,02004000,1779,16410,1.657,1.507,0.9,1.132,0.687,5
10/09/2025 11:27:28.490 AM,#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69540,02004000,1779,16410,1.657,1.507,0.9,1.132,0.687,5
10/09/2025 11:27:29.491 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69541,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:30.292 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69542,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:31.294 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69543,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:32.297 AM,#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69544,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:33.299 AM,#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69545,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:34.099 AM,#PSRDOPA,COM2,0,91,FINESTEERING,2159,69546,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:35.103 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69547,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:36.107 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69548,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:37.108 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69549,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:38.110 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69550,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:38.910 AM,#PSRDOPA,COM2,0,86,FINESTEERING,2159,69551,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:39.912 AM,#PSRDOPA,COM2,0,86,FINESTEERING,2159,69552,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:40.913 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69553,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:41.913 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69554,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:42.914 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69555,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:43.718 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69556,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:44.719 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69557,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:45.720 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69558,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:46.721 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69559,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:47.722 AM,#PSRDOPA,COM2,0,88.5,FINESTEERING,2159,69560,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:48.522 AM,#PSRDOPA,COM2,0,88.5,FINESTEERING,2159,69561,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:49.525 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69562,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:50.525 AM,#PSRDOPA,COM2,0,91,FINESTEERING,2159,69563,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:51.526 AM,#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69564,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:52.327 AM,#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69565,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:53.329 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69566,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:54.333 AM,#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69567,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
10/09/2025 11:27:55.334 AM,#PSRDOPA,COM2,0,90,FINESTEERING,2159,69568,02004000,1779,16410,1.657,1.508,0.902,1.134,0.687,5
